,run,database,workload,record_nbr,records,type,throughput,throughput_value,runtime,runtime_value
167,run-7,Mongodb,workload f,100000,100K,OVERALL,Throughput(ops/sec),1.0598946464721408,RunTime(ms),94.349
168,run-8,Mongodb,workload f,100000,100K,OVERALL,Throughput(ops/sec),1.0186722625729623,RunTime(ms),98.167
169,run-9,Mongodb,workload f,100000,100K,OVERALL,Throughput(ops/sec),0.915558078426705,RunTime(ms),109.223
190,run-1,Mongodb,workload f,1000000,1M,OVERALL,Throughput(ops/sec),1.041104903812318,RunTime(ms),960.518
191,run-10,Mongodb,workload f,1000000,1M,OVERALL,Throughput(ops/sec),1.0919152411713193,RunTime(ms),915.822
192,run-2,Mongodb,workload f,1000000,1M,OVERALL,Throughput(ops/sec),0.7691183596243626,RunTime(ms),1300.29
193,run-3,Mongodb,workload f,1000000,1M,OVERALL,Throughput(ops/sec),0.7691183596243626,RunTime(ms),1300.19
194,run-5,Mongodb,workload f,1000000,1M,OVERALL,Throughput(ops/sec),0.8537136115244507,RunTime(ms),1171.353
195,run-6,Mongodb,workload f,1000000,1M,OVERALL,Throughput(ops/sec),1.0757257114580923,RunTime(ms),929.605
196,run-7,Mongodb,workload f,1000000,1M,OVERALL,Throughput(ops/sec),1.0463863048960416,RunTime(ms),955.67
197,run-8,Mongodb,workload f,1000000,1M,OVERALL,Throughput(ops/sec),1.0450380028069721,RunTime(ms),956.903
198,run-9,Mongodb,workload f,1000000,1M,OVERALL,Throughput(ops/sec),1.0465724751439036,RunTime(ms),955.5
199,load-1,Mongodb,workload i,100,100,OVERALL,Throughput(ops/sec),0.05285412262156449,RunTime(ms),1.892
200,load-10,Mongodb,workload i,100,100,OVERALL,Throughput(ops/sec),0.0693000693000693,RunTime(ms),1.443
201,load-2,Mongodb,workload i,100,100,OVERALL,Throughput(ops/sec),0.0643915003219575,RunTime(ms),1.553
202,load-3,Mongodb,workload i,100,100,OVERALL,Throughput(ops/sec),0.07158196134574087,RunTime(ms),1.397
203,load-4,Mongodb,workload i,100,100,OVERALL,Throughput(ops/sec),0.06729475100942124,RunTime(ms),1.486
204,load-5,Mongodb,workload i,100,100,OVERALL,Throughput(ops/sec),0.0664451827242525,RunTime(ms),1.505
205,load-6,Mongodb,workload i,100,100,OVERALL,Throughput(ops/sec),0.07137758743754459,RunTime(ms),1.401
206,load-7,Mongodb,workload i,100,100,OVERALL,Throughput(ops/sec),0.05524861878453039,RunTime(ms),1.81
207,load-8,Mongodb,workload i,100,100,OVERALL,Throughput(ops/sec),0.040983606557377046,RunTime(ms),2.44
208,load-9,Mongodb,workload i,100,100,OVERALL,Throughput(ops/sec),0.06269592476489028,RunTime(ms),1.595
229,load-1,Mongodb,workload i,1000,1k,OVERALL,Throughput(ops/sec),0.3763643206624012,RunTime(ms),2.657
230,load-10,Mongodb,workload i,1000,1k,OVERALL,Throughput(ops/sec),0.38669760247486473,RunTime(ms),2.586
231,load-2,Mongodb,workload i,1000,1k,OVERALL,Throughput(ops/sec),0.4688232536333802,RunTime(ms),2.133
232,load-3,Mongodb,workload i,1000,1k,OVERALL,Throughput(ops/sec),0.2446183953033268,RunTime(ms),4.088
233,load-4,Mongodb,workload i,1000,1k,OVERALL,Throughput(ops/sec),0.25687130747495507,RunTime(ms),3.893
234,load-5,Mongodb,workload i,1000,1k,OVERALL,Throughput(ops/sec),0.27449903925336266,RunTime(ms),3.643
235,load-6,Mongodb,workload i,1000,1k,OVERALL,Throughput(ops/sec),0.3977724741447892,RunTime(ms),2.514
236,load-7,Mongodb,workload i,1000,1k,OVERALL,Throughput(ops/sec),0.4401408450704225,RunTime(ms),2.272
237,load-8,Mongodb,workload i,1000,1k,OVERALL,Throughput(ops/sec),0.2679528403001072,RunTime(ms),3.732
238,load-9,Mongodb,workload i,1000,1k,OVERALL,Throughput(ops/sec),0.235626767200754,RunTime(ms),4.244
219,load-1,Mongodb,workload i,10000,10k,OVERALL,Throughput(ops/sec),0.8007046200656578,RunTime(ms),12.489
220,load-10,Mongodb,workload i,10000,10k,OVERALL,Throughput(ops/sec),0.9390553103577799,RunTime(ms),10.649
221,load-2,Mongodb,workload i,10000,10k,OVERALL,Throughput(ops/sec),0.8022462896109106,RunTime(ms),12.465
222,load-3,Mongodb,workload i,10000,10k,OVERALL,Throughput(ops/sec),0.8383635144198525,RunTime(ms),11.928
223,load-4,Mongodb,workload i,10000,10k,OVERALL,Throughput(ops/sec),0.7154099298898268,RunTime(ms),13.978
224,load-5,Mongodb,workload i,10000,10k,OVERALL,Throughput(ops/sec),0.7932730445819453,RunTime(ms),12.606
225,load-6,Mongodb,workload i,10000,10k,OVERALL,Throughput(ops/sec),0.7462129691814042,RunTime(ms),13.401
226,load-7,Mongodb,workload i,10000,10k,OVERALL,Throughput(ops/sec),0.6521030322791002,RunTime(ms),15.335
227,load-8,Mongodb,workload i,10000,10k,OVERALL,Throughput(ops/sec),0.7412898443291327,RunTime(ms),13.49
228,load-9,Mongodb,workload i,10000,10k,OVERALL,Throughput(ops/sec),0.8732861758798358,RunTime(ms),11.451
209,load-1,Mongodb,workload i,100000,100K,OVERALL,Throughput(ops/sec),1.2810658467845246,RunTime(ms),78.06
210,load-10,Mongodb,workload i,100000,100K,OVERALL,Throughput(ops/sec),1.122952016260345,RunTime(ms),89.051
211,load-2,Mongodb,workload i,100000,100K,OVERALL,Throughput(ops/sec),1.3117162495408994,RunTime(ms),76.236
